channel_id,channel_name,sum_data/dpi/sum,sum_data/dpi/proportion,sum_data/fans/sum,sum_data/fans/proportion,sum_data/contents/sum,sum_data/contents/proportion,sum_data/impressions/sum,sum_data/impressions/proportion,sum_data/reach/sum,sum_data/reach/proportion,sum_data/engagement/sum,sum_data/engagement/proportion,detail_data/dpi/month/date,detail_data/dpi/month/value,detail_data/dpi/daily/date,detail_data/dpi/daily/value,detail_data/fans/month/date,detail_data/fans/month/value,detail_data/fans/daily/date,detail_data/fans/daily/value,detail_data/contents/month/date,detail_data/contents/month/value,detail_data/contents/daily/date,detail_data/contents/daily/value,detail_data/impressions/month/date,detail_data/impressions/month/value,detail_data/impressions/daily/date,detail_data/impressions/daily/value,detail_data/reach/month/date,detail_data/reach/month/value,detail_data/reach/daily/date,detail_data/reach/daily/value,detail_data/engagement/month/date,detail_data/engagement/month/value,detail_data/engagement/daily/date,detail_data/engagement/daily/value
,,,,,,,,,,,,,,,,2020/08/23,3409,,,2020/08/23,1325,,,2020/08/23,7752,,,2020/08/23,3589,,,2020/08/23,6636,,,2020/08/23,2343
,,,,,,,,,,,,,,,,2020/08/24,4707,,,2020/08/24,3786,,,2020/08/24,3284,,,2020/08/24,7202,,,2020/08/24,6617,,,2020/08/24,2319
,,,,,,,,,,,,,,,,2020/08/25,3018,,,2020/08/25,9936,,,2020/08/25,9348,,,2020/08/25,6340,,,2020/08/25,614,,,2020/08/25,6641
,,,,,,,,,,,,,,,,2020/08/26,1420,,,2020/08/26,5500,,,2020/08/26,4945,,,2020/08/26,9157,,,2020/08/26,2775,,,2020/08/26,1301
,,,,,,,,,,,,,,,,2020/08/27,8560,,,2020/08/27,7673,,,2020/08/27,3775,,,2020/08/27,2594,,,2020/08/27,6774,,,2020/08/27,7114
,,,,,,,,,,,,,,,,2020/08/28,4854,,,2020/08/28,9139,,,2020/08/28,7239,,,2020/08/28,5779,,,2020/08/28,3579,,,2020/08/28,6872
,,,,,,,,,,,,,,,,2020/08/29,1235,,,2020/08/29,9899,,,2020/08/29,510,,,2020/08/29,2798,,,2020/08/29,1573,,,2020/08/29,5966
,,,,,,,,,,,,,,,,2020/08/30,5811,,,2020/08/30,9224,,,2020/08/30,4397,,,2020/08/30,426,,,2020/08/30,5361,,,2020/08/30,9039
,,,,,,,,,,,,,,,,2020/08/31,6937,,,2020/08/31,798,,,2020/08/31,1304,,,2020/08/31,8352,,,2020/08/31,4118,,,2020/08/31,9499
,,,,,,,,,,,,,,,,2020/09/01,543,,,2020/09/01,9459,,,2020/09/01,4336,,,2020/09/01,3545,,,2020/09/01,1655,,,2020/09/01,6447
,,,,,,,,,,,,,,,,2020/09/02,6049,,,2020/09/02,9367,,,2020/09/02,6390,,,2020/09/02,1202,,,2020/09/02,5284,,,2020/09/02,4085
,,,,,,,,,,,,,,,,2020/09/03,3412,,,2020/09/03,6331,,,2020/09/03,488,,,2020/09/03,1435,,,2020/09/03,8840,,,2020/09/03,993
,,,,,,,,,,,,,,,,2020/09/04,2632,,,2020/09/04,1632,,,2020/09/04,1190,,,2020/09/04,8681,,,2020/09/04,4619,,,2020/09/04,1024
,,,,,,,,,,,,,,,,2020/09/05,9734,,,2020/09/05,6503,,,2020/09/05,1505,,,2020/09/05,1515,,,2020/09/05,5805,,,2020/09/05,4941
,,,,,,,,,,,,,,,,2020/09/06,6638,,,2020/09/06,7279,,,2020/09/06,8297,,,2020/09/06,6069,,,2020/09/06,7671,,,2020/09/06,9082
,,,,,,,,,,,,,,,,2020/09/07,1674,,,2020/09/07,5873,,,2020/09/07,5749,,,2020/09/07,9193,,,2020/09/07,2594,,,2020/09/07,9257
,,,,,,,,,,,,,,,,2020/09/08,7593,,,2020/09/08,6581,,,2020/09/08,3910,,,2020/09/08,2138,,,2020/09/08,4497,,,2020/09/08,6812
,,,,,,,,,,,,,,,,2020/09/09,7612,,,2020/09/09,8504,,,2020/09/09,7395,,,2020/09/09,4955,,,2020/09/09,2886,,,2020/09/09,7098
,,,,,,,,,,,,,,,,2020/09/10,9252,,,2020/09/10,9038,,,2020/09/10,8798,,,2020/09/10,7184,,,2020/09/10,9555,,,2020/09/10,8483
,,,,,,,,,,,,,,,,2020/09/11,2176,,,2020/09/11,5862,,,2020/09/11,536,,,2020/09/11,6376,,,2020/09/11,6631,,,2020/09/11,767
,,,,,,,,,,,,,,,,2020/09/12,7547,,,2020/09/12,8295,,,2020/09/12,9026,,,2020/09/12,2238,,,2020/09/12,3743,,,2020/09/12,8525
,,,,,,,,,,,,,,,,2020/09/13,7680,,,2020/09/13,9154,,,2020/09/13,8141,,,2020/09/13,6925,,,2020/09/13,7311,,,2020/09/13,1298
,,,,,,,,,,,,,,,,2020/09/14,8605,,,2020/09/14,6855,,,2020/09/14,7669,,,2020/09/14,8682,,,2020/09/14,9996,,,2020/09/14,481
,,,,,,,,,,,,,,,,2020/09/15,4399,,,2020/09/15,4586,,,2020/09/15,5855,,,2020/09/15,3791,,,2020/09/15,1884,,,2020/09/15,6198
,,,,,,,,,,,,,,,,2020/09/16,9650,,,2020/09/16,4793,,,2020/09/16,4934,,,2020/09/16,6039,,,2020/09/16,3413,,,2020/09/16,2058
,,,,,,,,,,,,,,,,2020/09/17,9580,,,2020/09/17,7517,,,2020/09/17,6158,,,2020/09/17,2556,,,2020/09/17,7806,,,2020/09/17,1639
,,,,,,,,,,,,,,,,2020/09/18,1465,,,2020/09/18,7183,,,2020/09/18,2643,,,2020/09/18,3111,,,2020/09/18,8056,,,2020/09/18,2672
,,,,,,,,,,,,,,,,2020/09/19,7351,,,2020/09/19,4353,,,2020/09/19,5546,,,2020/09/19,7076,,,2020/09/19,3305,,,2020/09/19,1457
,,,,,,,,,,,,,,,,2020/09/20,4727,,,2020/09/20,7894,,,2020/09/20,1619,,,2020/09/20,9180,,,2020/09/20,1228,,,2020/09/20,7558
,,,,,,,,,,,,,,,,2020/09/21,1351,,,2020/09/21,8122,,,2020/09/21,1464,,,2020/09/21,6960,,,2020/09/21,8389,,,2020/09/21,7249
,,,,,,,,,,,,,,,,2020/09/22,495,,,2020/09/22,9529,,,2020/09/22,7072,,,2020/09/22,3887,,,2020/09/22,3718,,,2020/09/22,6494
,,,,,,,,,,,,,,,,2020/09/23,9557,,,2020/09/23,1460,,,2020/09/23,8286,,,2020/09/23,9557,,,2020/09/23,6297,,,2020/09/23,920
,,,,,,,,,,,,,,,,2020/09/24,1647,,,2020/09/24,5135,,,2020/09/24,6968,,,2020/09/24,1226,,,2020/09/24,599,,,2020/09/24,9361
,,,,,,,,,,,,,,,,2020/09/25,8751,,,2020/09/25,2232,,,2020/09/25,5784,,,2020/09/25,9020,,,2020/09/25,6401,,,2020/09/25,6471
,,,,,,,,,,,,,,,,2020/09/26,360,,,2020/09/26,9655,,,2020/09/26,6817,,,2020/09/26,1523,,,2020/09/26,8025,,,2020/09/26,6361
,,,,,,,,,,,,,,,,2020/09/27,8133,,,2020/09/27,9867,,,2020/09/27,5364,,,2020/09/27,2346,,,2020/09/27,1832,,,2020/09/27,5359
,,,,,,,,,,,,,,,,2020/09/28,2138,,,2020/09/28,9524,,,2020/09/28,3688,,,2020/09/28,926,,,2020/09/28,7125,,,2020/09/28,5346
,,,,,,,,,,,,,,,,2020/09/29,1184,,,2020/09/29,3162,,,2020/09/29,2856,,,2020/09/29,3777,,,2020/09/29,9042,,,2020/09/29,7060
,,,,,,,,,,,,,,,,2020/09/30,3001,,,2020/09/30,9988,,,2020/09/30,9689,,,2020/09/30,4671,,,2020/09/30,6615,,,2020/09/30,2874
,,,,,,,,,,,,,,,,2020/10/01,5531,,,2020/10/01,1079,,,2020/10/01,626,,,2020/10/01,6007,,,2020/10/01,8655,,,2020/10/01,6567
,,,,,,,,,,,,,,,,2020/10/02,7990,,,2020/10/02,1976,,,2020/10/02,7752,,,2020/10/02,6239,,,2020/10/02,7250,,,2020/10/02,9490
,,,,,,,,,,,,,,,,2020/10/03,5851,,,2020/10/03,2668,,,2020/10/03,9129,,,2020/10/03,1061,,,2020/10/03,7328,,,2020/10/03,6498
,,,,,,,,,,,,,,,,2020/10/04,368,,,2020/10/04,1559,,,2020/10/04,3616,,,2020/10/04,4163,,,2020/10/04,4057,,,2020/10/04,8492
,,,,,,,,,,,,,,,,2020/10/05,3286,,,2020/10/05,3088,,,2020/10/05,3958,,,2020/10/05,690,,,2020/10/05,8679,,,2020/10/05,9091
,,,,,,,,,,,,,,,,2020/10/06,1335,,,2020/10/06,2345,,,2020/10/06,8680,,,2020/10/06,672,,,2020/10/06,1609,,,2020/10/06,6236
,,,,,,,,,,,,,,,,2020/10/07,2507,,,2020/10/07,3563,,,2020/10/07,6631,,,2020/10/07,678,,,2020/10/07,5067,,,2020/10/07,1224
,,,,,,,,,,,,,,,,2020/10/08,5711,,,2020/10/08,7557,,,2020/10/08,5409,,,2020/10/08,3369,,,2020/10/08,4563,,,2020/10/08,5605
,,,,,,,,,,,,,,,,2020/10/09,4982,,,2020/10/09,4962,,,2020/10/09,4209,,,2020/10/09,8434,,,2020/10/09,9648,,,2020/10/09,7095
,,,,,,,,,,,,,,,,2020/10/10,4159,,,2020/10/10,6681,,,2020/10/10,7425,,,2020/10/10,2101,,,2020/10/10,5205,,,2020/10/10,9624
,,,,,,,,,,,,,,,,2020/10/11,3870,,,2020/10/11,827,,,2020/10/11,2695,,,2020/10/11,3329,,,2020/10/11,6678,,,2020/10/11,8936
,,,,,,,,,,,,,,,,2020/10/12,6124,,,2020/10/12,8691,,,2020/10/12,2175,,,2020/10/12,5788,,,2020/10/12,4732,,,2020/10/12,8283
,,,,,,,,,,,,,,,,2020/10/13,7117,,,2020/10/13,3802,,,2020/10/13,2942,,,2020/10/13,2912,,,2020/10/13,6955,,,2020/10/13,1780
,,,,,,,,,,,,,,,,2020/10/14,9270,,,2020/10/14,3756,,,2020/10/14,8869,,,2020/10/14,5721,,,2020/10/14,9977,,,2020/10/14,4364
,,,,,,,,,,,,,,,,2020/10/15,8267,,,2020/10/15,3949,,,2020/10/15,6190,,,2020/10/15,5125,,,2020/10/15,7395,,,2020/10/15,3419
,,,,,,,,,,,,,,,,2020/10/16,4957,,,2020/10/16,8770,,,2020/10/16,2790,,,2020/10/16,2848,,,2020/10/16,2705,,,2020/10/16,1671
,,,,,,,,,,,,,,,,2020/10/17,1371,,,2020/10/17,312,,,2020/10/17,5703,,,2020/10/17,811,,,2020/10/17,2416,,,2020/10/17,2207
,,,,,,,,,,,,,,,,2020/10/18,747,,,2020/10/18,596,,,2020/10/18,2470,,,2020/10/18,5650,,,2020/10/18,6517,,,2020/10/18,5067
,,,,,,,,,,,,,,,,2020/10/19,2123,,,2020/10/19,4044,,,2020/10/19,1538,,,2020/10/19,2044,,,2020/10/19,8779,,,2020/10/19,2664
,,,,,,,,,,,,,,,,2020/10/20,4600,,,2020/10/20,359,,,2020/10/20,2316,,,2020/10/20,9335,,,2020/10/20,8883,,,2020/10/20,9255
,,,,,,,,,,,,,,,,2020/10/21,181,,,2020/10/21,8045,,,2020/10/21,6395,,,2020/10/21,7044,,,2020/10/21,6136,,,2020/10/21,1503
,,,,,,,,,,,,,,,,2020/10/22,1284,,,2020/10/22,1909,,,2020/10/22,1008,,,2020/10/22,6877,,,2020/10/22,4117,,,2020/10/22,6884
,,,,,,,,,,,,,,,,2020/10/23,6603,,,2020/10/23,236,,,2020/10/23,8743,,,2020/10/23,2221,,,2020/10/23,2811,,,2020/10/23,2089
,,,,,,,,,,,,,,,,2020/10/24,1092,,,2020/10/24,7838,,,2020/10/24,6882,,,2020/10/24,5899,,,2020/10/24,8993,,,2020/10/24,1933
,,,,,,,,,,,,,,,,2020/10/25,2309,,,2020/10/25,517,,,2020/10/25,2891,,,2020/10/25,523,,,2020/10/25,8006,,,2020/10/25,2934
,,,,,,,,,,,,,,,,2020/10/26,4499,,,2020/10/26,3399,,,2020/10/26,1557,,,2020/10/26,9017,,,2020/10/26,6385,,,2020/10/26,736
,,,,,,,,,,,,,,,,2020/10/27,958,,,2020/10/27,1424,,,2020/10/27,5752,,,2020/10/27,9733,,,2020/10/27,2079,,,2020/10/27,2624
,,,,,,,,,,,,,,,,2020/10/28,6985,,,2020/10/28,3072,,,2020/10/28,6079,,,2020/10/28,8877,,,2020/10/28,7077,,,2020/10/28,1525
,,,,,,,,,,,,,,,,2020/10/29,3243,,,2020/10/29,7742,,,2020/10/29,4687,,,2020/10/29,2798,,,2020/10/29,9556,,,2020/10/29,9299
,,,,,,,,,,,,,,,,2020/10/30,6660,,,2020/10/30,8267,,,2020/10/30,8207,,,2020/10/30,172,,,2020/10/30,2342,,,2020/10/30,5160
,,,,,,,,,,,,,,,,2020/10/31,2989,,,2020/10/31,8730,,,2020/10/31,4645,,,2020/10/31,8440,,,2020/10/31,7798,,,2020/10/31,5311
wgr64569,_____,900640,0.333705459,865789,0.468680354,1073745,0.340716862,1051773,0.475756942,4772/03,0.339894506,823418,0.309756399,2019/10,61649,2020/08/01,7425,2019/10,81261,2020/08/01,1299,2019/10,96160,2020/08/01,9061,2019/10,84630,2020/08/01,5339,2019/10,38033,2020/08/01,9475,2019/10,19511,2020/08/01,7516
,,,,,,,,,,,,,,2019/11,7122,2020/08/02,721,2019/11,22269,2020/08/02,4817,2019/11,85143,2020/08/02,3483,2019/11,43202,2020/08/02,3426,2019/11,12431,2020/08/02,1390,2019/11,81474,2020/08/02,2162
,,,,,,,,,,,,,,2019/12,39512,2020/08/03,153,2019/12,59691,2020/08/03,5656,2019/12,51417,2020/08/03,5501,2019/12,78276,2020/08/03,8942,2019/12,81540,2020/08/03,8378,2019/12,11318,2020/08/03,966
,,,,,,,,,,,,,,2020/01,84157,2020/08/04,8833,2020/01,52400,2020/08/04,7097,2020/01,14577,2020/08/04,8966,2020/01,64744,2020/08/04,5091,2020/01,90102,2020/08/04,5057,2020/01,79171,2020/08/04,7007
,,,,,,,,,,,,,,2020/02,23101,2020/08/05,6629,2020/02,20192,2020/08/05,3282,2020/02,96700,2020/08/05,8943,2020/02,72796,2020/08/05,9198,2020/02,26685,2020/08/05,8994,2020/02,17630,2020/08/05,8410
,,,,,,,,,,,,,,2020/03,38354,2020/08/06,9243,2020/03,43438,2020/08/06,2292,2020/03,50138,2020/08/06,5303,2020/03,96326,2020/08/06,2667,2020/03,85401,2020/08/06,1387,2020/03,52936,2020/08/06,2216
,,,,,,,,,,,,,,2020/04,52580,2020/08/07,5893,2020/04,5696,2020/08/07,9305,2020/04,37583,2020/08/07,8352,2020/04,40077,2020/08/07,4939,2020/04,57995,2020/08/07,6550,2020/04,35345,2020/08/07,5304
,,,,,,,,,,,,,,2020/05,59401,2020/08/08,1713,2020/05,14860,2020/08/08,8952,2020/05,70440,2020/08/08,8319,2020/05,48344,2020/08/08,5347,2020/05,25636,2020/08/08,3364,2020/05,6222,2020/08/08,3495
,,,,,,,,,,,,,,2020/06,19865,2020/08/09,4604,2020/06,75123,2020/08/09,2466,2020/06,66678,2020/08/09,2325,2020/06,37254,2020/08/09,7962,2020/06,93610,2020/08/09,8197,2020/06,17341,2020/08/09,8686
,,,,,,,,,,,,,,2020/07,63047,2020/08/10,9879,2020/07,40300,2020/08/10,1552,2020/07,42237,2020/08/10,4812,2020/07,39690,2020/08/10,1904,2020/07,78856,2020/08/10,3003,2020/07,13281,2020/08/10,9476
,,,,,,,,,,,,,,2020/08,140703,2020/08/11,1494,2020/08,166541,2020/08/11,9006,2020/08,168598,2020/08/11,8680,2020/08,146772,2020/08/11,3022,2020/08,157482,2020/08/11,4234,2020/08,159132,2020/08/11,2375
,,,,,,,,,,,,,,2020/09,147188,2020/08/12,7973,2020/09,157744,2020/08/12,8201,2020/09,144074,2020/08/12,4880,2020/09,137222,2020/08/12,1058,2020/09,139499,2020/08/12,1932,2020/09,157805,2020/08/12,3244
,,,,,,,,,,,,,,2020/10,163961,2020/08/13,252,2020/10,126274,2020/08/13,3475,2020/10,150000,2020/08/13,7974,2020/10,162440,2020/08/13,4813,2020/10,161794,2020/08/13,4121,2020/10,172252,2020/08/13,5358
,,,,,,,,,,,,,,,,2020/08/14,6539,,,2020/08/14,6843,,,2020/08/14,4995,,,2020/08/14,4782,,,2020/08/14,4884,,,2020/08/14,7127
,,,,,,,,,,,,,,,,2020/08/15,1857,,,2020/08/15,3824,,,2020/08/15,9274,,,2020/08/15,4832,,,2020/08/15,2977,,,2020/08/15,2217
,,,,,,,,,,,,,,,,2020/08/16,2277,,,2020/08/16,6275,,,2020/08/16,2883,,,2020/08/16,8893,,,2020/08/16,167,,,2020/08/16,3689
,,,,,,,,,,,,,,,,2020/08/17,970,,,2020/08/17,9931,,,2020/08/17,49,,,2020/08/17,5021,,,2020/08/17,8530,,,2020/08/17,5215
,,,,,,,,,,,,,,,,2020/08/18,3955,,,2020/08/18,8417,,,2020/08/18,1648,,,2020/08/18,4479,,,2020/08/18,9381,,,2020/08/18,5751
,,,,,,,,,,,,,,,,2020/08/19,8667,,,2020/08/19,7371,,,2020/08/19,8631,,,2020/08/19,52,,,2020/08/19,9034,,,2020/08/19,6844
,,,,,,,,,,,,,,,,2020/08/20,2238,,,2020/08/20,4359,,,2020/08/20,1148,,,2020/08/20,944,,,2020/08/20,6241,,,2020/08/20,6896
,,,,,,,,,,,,,,,,2020/08/21,5133,,,2020/08/21,3173,,,2020/08/21,2998,,,2020/08/21,9058,,,2020/08/21,5475,,,2020/08/21,497
,,,,,,,,,,,,,,,,2020/08/22,7567,,,2020/08/22,3894,,,2020/08/22,810,,,2020/08/22,6375,,,2020/08/22,2454,,,2020/08/22,8481
,,,,,,,,,,,,,,,,2020/08/23,8508,,,2020/08/23,7062,,,2020/08/23,8148,,,2020/08/23,782,,,2020/08/23,7246,,,2020/08/23,8228
,,,,,,,,,,,,,,,,2020/08/24,5832,,,2020/08/24,343,,,2020/08/24,6193,,,2020/08/24,4865,,,2020/08/24,3386,,,2020/08/24,4861
,,,,,,,,,,,,,,,,2020/08/25,4667,,,2020/08/25,5129,,,2020/08/25,3196,,,2020/08/25,1242,,,2020/08/25,7699,,,2020/08/25,2586
,,,,,,,,,,,,,,,,2020/08/26,2489,,,2020/08/26,332,,,2020/08/26,8325,,,2020/08/26,9782,,,2020/08/26,7831,,,2020/08/26,2029
,,,,,,,,,,,,,,,,2020/08/27,1416,,,2020/08/27,7988,,,2020/08/27,6454,,,2020/08/27,8823,,,2020/08/27,3971,,,2020/08/27,8560
,,,,,,,,,,,,,,,,2020/08/28,3996,,,2020/08/28,7956,,,2020/08/28,338,,,2020/08/28,694,,,2020/08/28,146,,,2020/08/28,9416
,,,,,,,,,,,,,,,,2020/08/29,2762,,,2020/08/29,9395,,,2020/08/29,4958,,,2020/08/29,2839,,,2020/08/29,1328,,,2020/08/29,1036
,,,,,,,,,,,,,,,,2020/08/30,5227,,,2020/08/30,981,,,2020/08/30,6298,,,2020/08/30,6658,,,2020/08/30,9404,,,2020/08/30,4450
,,,,,,,,,,,,,,,,2020/08/31,1791,,,2020/08/31,5868,,,2020/08/31,5653,,,2020/08/31,2943,,,2020/08/31,1246,,,2020/08/31,5034
,,,,,,,,,,,,,,,,2020/09/01,6574,,,2020/09/01,86,,,2020/09/01,3885,,,2020/09/01,3547,,,2020/09/01,1645,,,2020/09/01,9658
,,,,,,,,,,,,,,,,2020/09/02,8097,,,2020/09/02,1964,,,2020/09/02,5927,,,2020/09/02,5604,,,2020/09/02,6592,,,2020/09/02,9333
,,,,,,,,,,,,,,,,2020/09/03,1049,,,2020/09/03,3875,,,2020/09/03,7098,,,2020/09/03,9238,,,2020/09/03,9986,,,2020/09/03,4758
,,,,,,,,,,,,,,,,2020/09/04,1099,,,2020/09/04,1208,,,2020/09/04,4660,,,2020/09/04,7350,,,2020/09/04,4422,,,2020/09/04,6061
,,,,,,,,,,,,,,,,2020/09/05,1120,,,2020/09/05,6641,,,2020/09/05,7452,,,2020/09/05,7405,,,2020/09/05,2133,,,2020/09/05,2929
,,,,,,,,,,,,,,,,2020/09/06,2840,,,2020/09/06,9293,,,2020/09/06,7080,,,2020/09/06,216,,,2020/09/06,2371,,,2020/09/06,2460
,,,,,,,,,,,,,,,,2020/09/07,2427,,,2020/09/07,9701,,,2020/09/07,9512,,,2020/09/07,2736,,,2020/09/07,5300,,,2020/09/07,2839
,,,,,,,,,,,,,,,,2020/09/08,488,,,2020/09/08,9011,,,2020/09/08,2599,,,2020/09/08,4502,,,2020/09/08,6495,,,2020/09/08,5797
,,,,,,,,,,,,,,,,2020/09/09,250,,,2020/09/09,2399,,,2020/09/09,8849,,,2020/09/09,2312,,,2020/09/09,7516,,,2020/09/09,7097
,,,,,,,,,,,,,,,,2020/09/10,4749,,,2020/09/10,6120,,,2020/09/10,3496,,,2020/09/10,1263,,,2020/09/10,4729,,,2020/09/10,5708
,,,,,,,,,,,,,,,,2020/09/11,6577,,,2020/09/11,1127,,,2020/09/11,6791,,,2020/09/11,2971,,,2020/09/11,9502,,,2020/09/11,2727
,,,,,,,,,,,,,,,,2020/09/12,9844,,,2020/09/12,7353,,,2020/09/12,2997,,,2020/09/12,3060,,,2020/09/12,9714,,,2020/09/12,9314
,,,,,,,,,,,,,,,,2020/09/13,2844,,,2020/09/13,1489,,,2020/09/13,291,,,2020/09/13,2226,,,2020/09/13,2223,,,2020/09/13,3740
,,,,,,,,,,,,,,,,2020/09/14,743,,,2020/09/14,5069,,,2020/09/14,3174,,,2020/09/14,1481,,,2020/09/14,8562,,,2020/09/14,846
,,,,,,,,,,,,,,,,2020/09/15,4615,,,2020/09/15,1692,,,2020/09/15,5417,,,2020/09/15,2923,,,2020/09/15,4265,,,2020/09/15,9040
,,,,,,,,,,,,,,,,2020/09/16,6366,,,2020/09/16,9551,,,2020/09/16,9386,,,2020/09/16,6872,,,2020/09/16,1169,,,2020/09/16,5398
,,,,,,,,,,,,,,,,2020/09/17,4403,,,2020/09/17,501,,,2020/09/17,7795,,,2020/09/17,3595,,,2020/09/17,3496,,,2020/09/17,5751
